session_id,game_number,winner,total_moves,p1_depth,p2_depth
20260620_234504_SELFPLAY,1,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,2,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,3,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,4,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,5,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,6,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,7,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,8,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,9,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,10,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,11,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,12,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,13,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,14,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,15,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,16,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,17,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,18,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,19,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,20,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,21,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,22,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,23,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,24,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,25,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,26,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,27,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,28,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,29,PLAYER_SIM,12,1,1
20260620_234504_SELFPLAY,30,PLAYER_SIM,7,1,1
20260620_234504_SELFPLAY,31,AI_WARRIOR,27,1,3
20260620_234504_SELFPLAY,32,AI_WARRIOR,20,1,3
